"Gradespan","Grade Band (expanded)","Teaches CS?","Grades Hi","Grades Lo","School District Name","School Name","School Type (School Stats)","School Year","Stage El","Stage Hi","Stage Mi","State","Students","Teaches Cs"
"10 - 12","High","Yes","12","10","CEDAR FALLS COMM SCHOOL DISTRICT","CEDAR FALLS HIGH SCHOOL","public","2017","0","1","0","IA","1131","Yes"
"PK - 06","Elementary","Yes","06","PK","CEDAR FALLS COMM SCHOOL DISTRICT","CEDAR HEIGHTS ELEMENTARY SCHOOL","public","2017","1","0","0","IA","504","Yes"
"PK - 06","Elementary","No","06","PK","CEDAR FALLS COMM SCHOOL DISTRICT","HELEN A HANSEN ELEMENTARY SCHOOL","public","2017","1","0","0","IA","549","No"
"07 - 09","Mixed","Yes","09","07","CEDAR FALLS COMM SCHOOL DISTRICT","HOLMES JUNIOR HIGH SCHOOL","public","2017","0","1","1","IA","543","Yes"
"KG - 06","Elementary","Inconsistent","06","KG","CEDAR FALLS COMM SCHOOL DISTRICT","LINCOLN ELEMENTARY SCHOOL","public","2017","1","0","0","IA","581","Inconsistent"
"PK - 06","Elementary","No","06","PK","CEDAR FALLS COMM SCHOOL DISTRICT","NORTH CEDAR ELEMENTARY SCHOOL","public","2017","1","0","0","IA","276","No"
"KG - 06","Elementary","Inconsistent","06","KG","CEDAR FALLS COMM SCHOOL DISTRICT","ORCHARD HILL ELEMENTARY SCHOOL","public","2017","1","0","0","IA","406","Inconsistent"
"07 - 09","Mixed","No","09","07","CEDAR FALLS COMM SCHOOL DISTRICT","PEET JUNIOR HIGH SCHOOL","public","2017","0","1","1","IA","584","HN"
"PK - 12","Mixed","Unknown","12","PK","CEDAR FALLS COMM SCHOOL DISTRICT","RIVER HILLS","public","2017","1","1","0","IA","",
"PK - 06","Elementary","Yes","06","PK","CEDAR FALLS COMM SCHOOL DISTRICT","SOUTHDALE ELEMENTARY SCHOOL","public","2017","1","0","0","IA","663","Yes"
"PK - 05","Elementary","Unknown","05","PK","CEDAR RAPIDS COMM SCHOOL DISTRICT","ARTHUR ELEMENTARY SCHOOL","public","2017","1","0","0","IA","367",
"PK - 05","Elementary","Unknown","05","PK","CEDAR RAPIDS COMM SCHOOL DISTRICT","CLEVELAND ELEMENTARY SCHOOL","public","2017","1","0","0","IA","402",
"PK - 05","Elementary","Unknown","05","PK","CEDAR RAPIDS COMM SCHOOL DISTRICT","COOLIDGE ELEMENTARY SCHOOL","public","2017","1","0","0","IA","488",
"PK - 05","Elementary","Unknown","05","PK","CEDAR RAPIDS COMM SCHOOL DISTRICT","ERSKINE ELEMENTARY SCHOOL","public","2017","1","0","0","IA","358",
"06 - 08","Middle","Yes","08","06","CEDAR RAPIDS COMM SCHOOL DISTRICT","FRANKLIN MIDDLE SCHOOL","public","2017","0","0","1","IA","663","Yes"
"PK - 05","Elementary","Unknown","05","PK","CEDAR RAPIDS COMM SCHOOL DISTRICT","GARFIELD ELEMENTARY SCHOOL","public","2017","1","0","0","IA","276",
"09 - 12","High","Yes","12","09","CEDAR RAPIDS COMM SCHOOL DISTRICT","GEORGE WASHINGTON HIGH SCHOOL","public","2017","0","1","0","IA","1364","Yes"
"KG - 05","Elementary","Unknown","05","KG","CEDAR RAPIDS COMM SCHOOL DISTRICT","GRANT ELEMENTARY SCHOOL","public","2017","1","0","0","IA","379",
"PK - 05","Elementary","Unknown","05","PK","CEDAR RAPIDS COMM SCHOOL DISTRICT","GRANT WOOD ELEMENTARY SCHOOL","public","2017","1","0","0","IA","370",
"06 - 08","Middle","Yes","08","06","CEDAR RAPIDS COMM SCHOOL DISTRICT","HARDING MIDDLE SCHOOL","public","2017","0","0","1","IA","807","Yes"
"PK - 05","Elementary","Unknown","05","PK","CEDAR RAPIDS COMM SCHOOL DISTRICT","HARRISON ELEMENTARY SCHOOL","public","2017","1","0","0","IA","365",
"PK - 05","Elementary","Unknown","05","PK","CEDAR RAPIDS COMM SCHOOL DISTRICT","HIAWATHA ELEMENTARY SCHOOL","public","2017","1","0","0","IA","423",
"PK - 05","Elementary","Unknown","05","PK","CEDAR RAPIDS COMM SCHOOL DISTRICT","HOOVER ELEMENTARY SCHOOL","public","2017","1","0","0","IA","382",
"PK - 05","Elementary","Unknown","05","PK","CEDAR RAPIDS COMM SCHOOL DISTRICT","JACKSON ELEMENTARY SCHOOL","public","2017","1","0","0","IA","367",
"09 - 12","High","Yes","12","09","CEDAR RAPIDS COMM SCHOOL DISTRICT","JOHN F KENNEDY HIGH SCHOOL","public","2017","0","1","0","IA","1749","Yes"
"PK - 05","Elementary","Unknown","05","PK","CEDAR RAPIDS COMM SCHOOL DISTRICT","JOHNSON ELEMENTARY SCHOOL","public","2017","1","0","0","IA","367",
"PK - 05","Elementary","Unknown","05","PK","CEDAR RAPIDS COMM SCHOOL DISTRICT","KENWOOD ELEMENTARY SCHOOL","public","2017","1","0","0","IA","371",
"KG - 05","Elementary","Unknown","05","KG","CEDAR RAPIDS COMM SCHOOL DISTRICT","MADISON ELEMENTARY SCHOOL","public","2017","1","0","0","IA","280",
"06 - 08","Middle","Yes","08","06","CEDAR RAPIDS COMM SCHOOL DISTRICT","MCKINLEY MIDDLE SCHOOL","public","2017","0","0","1","IA","535","Yes"
"09 - 12","High","Yes","12","09","CEDAR RAPIDS COMM SCHOOL DISTRICT","METRO HIGH SCHOOL","public","2017","0","1","0","IA","374","HY"
"PK - 05","Elementary","Unknown","05","PK","CEDAR RAPIDS COMM SCHOOL DISTRICT","NIXON ELEMENTARY SCHOOL","public","2017","1","0","0","IA","417",
"KG - 05","Elementary","Unknown","05","KG","CEDAR RAPIDS COMM SCHOOL DISTRICT","PIERCE ELEMENTARY SCHOOL","public","2017","1","0","0","IA","390",
"06 - 08","Middle","Unknown","08","06","CEDAR RAPIDS COMM SCHOOL DISTRICT","ROOSEVELT MIDDLE SCHOOL","public","2017","0","0","1","IA","566",
"06 - 08","Middle","Yes","08","06","CEDAR RAPIDS COMM SCHOOL DISTRICT","TAFT MIDDLE SCHOOL","public","2017","0","0","1","IA","588","Yes"
"PK - 05","Elementary","Unknown","05","PK","CEDAR RAPIDS COMM SCHOOL DISTRICT","TAYLOR ELEMENTARY SCHOOL","public","2017","1","0","0","IA","301",
"09 - 12","High","Yes","12","09","CEDAR RAPIDS COMM SCHOOL DISTRICT","THOMAS JEFFERSON HIGH SCHOOL","public","2017","0","1","0","IA","1516","HY"
"KG - 05","Elementary","Unknown","05","KG","CEDAR RAPIDS COMM SCHOOL DISTRICT","TRUMAN ELEMENTARY SCHOOL","public","2017","1","0","0","IA","275",
"KG - 05","Elementary","Unknown","05","KG","CEDAR RAPIDS COMM SCHOOL DISTRICT","VAN BUREN ELEMENTARY SCHOOL","public","2017","1","0","0","IA","380",
"PK - 05","Elementary","Unknown","05","PK","CEDAR RAPIDS COMM SCHOOL DISTRICT","VIOLA GIBSON ELEMENTARY SCHOOL","public","2017","1","0","0","IA","488",
"06 - 08","Middle","Inconsistent","08","06","CEDAR RAPIDS COMM SCHOOL DISTRICT","WILSON MIDDLE SCHOOL","public","2017","0","0","1","IA","368","Inconsistent"
"PK - 05","Elementary","Unknown","05","PK","CEDAR RAPIDS COMM SCHOOL DISTRICT","WRIGHT ELEMENTARY SCHOOL","public","2017","1","0","0","IA","375",
"09 - 12","High","Yes","12","09","CENTER POINT-URBANA COMM SCHOOL DISTRICT","CENTER POINT-URBANA HIGH SCHOOL","public","2017","0","1","0","IA","415","HY"
"03 - 05","Elementary","Unknown","05","03","CENTER POINT-URBANA COMM SCHOOL DISTRICT","CENTER POINT-URBANA INTERMEDIATE SCHOOL","public","2017","1","0","0","IA","337",
"06 - 08","Middle","Unknown","08","06","CENTER POINT-URBANA COMM SCHOOL DISTRICT","CENTER POINT-URBANA MIDDLE SCHOOL","public","2017","0","0","1","IA","349",
"PK - 02","Elementary","Unknown","02","PK","CENTER POINT-URBANA COMM SCHOOL DISTRICT","CENTER POINT-URBANA PRIMARY SCHOOL","public","2017","1","0","0","IA","451",
"PK - PK","PK","No","PK","PK","CENTERVILLE COMM SCHOOL DISTRICT","CENTERVILLE COMMUNITY PRESCHOOL BLDG","public","2017","1","0","0","IA","60","No"
"PK - PK","PK","Unknown","PK","PK","CENTERVILLE COMM SCHOOL DISTRICT","CENTERVILLE EARLY CHILDHOOD  SPECIAL ED","public","2017","1","0","0","IA","",
"09 - 12","High","No","12","09","CENTERVILLE COMM SCHOOL DISTRICT","CENTERVILLE HIGH SCHOOL","public","2017","0","1","0","IA","393","HN"
"KG - 02","Elementary","Unknown","02","KG","CENTERVILLE COMM SCHOOL DISTRICT","CENTRAL WARD ELEMENTARY SCHOOL","public","2017","1","0","0","IA","188",
"KG - 02","Elementary","Unknown","02","KG","CENTERVILLE COMM SCHOOL DISTRICT","GARFIELD ELEMENTARY SCHOOL","public","2017","1","0","0","IA","65",
"07 - 08","Middle","Yes","08","07","CENTERVILLE COMM SCHOOL DISTRICT","HOWAR JUNIOR HIGH SCHOOL","public","2017","0","0","1","IA","203","Yes"
"03 - 06","Mixed","Unknown","06","03","CENTERVILLE COMM SCHOOL DISTRICT","LAKEVIEW ELEMENTARY","public","2017","1","0","1","IA","395",
"KG - 02","Elementary","Unknown","02","KG","CENTERVILLE COMM SCHOOL DISTRICT","LINCOLN ELEMENTARY SCHOOL","public","2017","1","0","0","IA","85",
"KG - 06","Elementary","Yes","06","KG","CENTRAL CITY COMM SCHOOL DISTRICT","CENTRAL CITY ELEMENTARY SCHOOL","public","2017","1","0","0","IA","222","Yes"
"09 - 12","High","Yes","12","09","CENTRAL CITY COMM SCHOOL DISTRICT","CENTRAL CITY HIGH SCHOOL","public","2017","0","1","0","IA","154","HY"
"07 - 08","Middle","Unknown","08","07","CENTRAL CITY COMM SCHOOL DISTRICT","CENTRAL CITY JUNIOR HIGH","public","2017","0","0","1","IA","71",
"06 - 12","Mixed","Yes","12","06","CENTRAL COMM SCHOOL DISTRICT","CENTRAL COMMUNITY JR-SR HIGH SCHOOL","public","2017","0","1","1","IA","236","Yes"
"PK - 05","Elementary","Yes","05","PK","CENTRAL COMM SCHOOL DISTRICT","ELKADER ELEMENTARY SCHOOL","public","2017","1","0","0","IA","244","Yes"
"07 - 12","Mixed","Yes","12","07","CENTRAL DECATUR COMM SCHOOL DISTRICT","CENTRAL DECATUR MS/SR HIGH SCHOOL","public","2017","0","1","1","IA","298","HY"
"03 - 06","Mixed","Unknown","06","03","CENTRAL DECATUR COMM SCHOOL DISTRICT","NORTH ELEMENTARY SCHOOL","public","2017","1","0","1","IA","223",
"PK - 02","Elementary","Unknown","02","PK","CENTRAL DECATUR COMM SCHOOL DISTRICT","SOUTH ELEMENTARY SCHOOL","public","2017","1","0","0","IA","239",
"","Mixed","Yes","","","CENTRAL DEWITT SCHOOL DISTRICT","CENTRAL ALTERNATIVE PROGRAM","public","2017","","","","IA","","HY"
"09 - 12","High","No","12","09","CENTRAL DEWITT SCHOOL DISTRICT","CENTRAL HIGH SCHOOL","public","2017","0","1","0","IA","519","HN"
"04 - 06","Mixed","Unknown","06","04","CENTRAL DEWITT SCHOOL DISTRICT","CENTRAL INTERMEDIATE SCHOOL","public","2017","1","0","1","IA","301",
"07 - 08","Middle","Yes","08","07","CENTRAL DEWITT SCHOOL DISTRICT","CENTRAL MIDDLE SCHOOL","public","2017","0","0","1","IA","215","Yes"
"PK - 03","Elementary","Yes","03","PK","CENTRAL DEWITT SCHOOL DISTRICT","EKSTRAND ELEMENTARY SCHOOL","public","2017","1","0","0","IA","453","Yes"
"PK - 05","Elementary","Yes","05","PK","CENTRAL LEE COMM SCHOOL DISTRICT","CENTRAL LEE ELEMENTARY SCHOOL","public","2017","1","0","0","IA","509","Yes"
"09 - 12","High","Yes","12","09","CENTRAL LEE COMM SCHOOL DISTRICT","CENTRAL LEE HIGH SCHOOL","public","2017","0","1","0","IA","337","HY"
"06 - 08","Middle","Inconsistent","08","06","CENTRAL LEE COMM SCHOOL DISTRICT","CENTRAL LEE MIDDLE SCHOOL","public","2017","0","0","1","IA","232","Inconsistent"
"PK - 05","Elementary","Unknown","05","PK","CENTRAL LYON COMM SCHOOL DISTRICT","CENTRAL LYON ELEMENTARY SCHOOL","public","2017","1","0","0","IA","419",
"06 - 08","Middle","No","08","06","CENTRAL LYON COMM SCHOOL DISTRICT","CENTRAL LYON MIDDLE SCHOOL","public","2017","0","0","1","IA","145","No"
"09 - 12","High","Yes","12","09","CENTRAL LYON COMM SCHOOL DISTRICT","CENTRAL LYON SENIOR HIGH SCHOOL","public","2017","0","1","0","IA","168","HY"
"PK - 04","Elementary","Unknown","04","PK","CENTRAL SPRINGS COMM SCHOOL DISTRICT","CENTRAL SPRINGS ELEM. MANLY CAMPUS","public","2017","1","0","0","IA","185",
"PK - 04","Elementary","Unknown","04","PK","CENTRAL SPRINGS COMM SCHOOL DISTRICT","CENTRAL SPRINGS ELEM. SCHOOL - NORA SPRINGS","public","2017","1","0","0","IA","171",
"09 - 12","High","No","12","09","CENTRAL SPRINGS COMM SCHOOL DISTRICT","CENTRAL SPRINGS HIGH SCHOOL","public","2017","0","1","0","IA","230","HN"
"05 - 08","Mixed","No","08","05","CENTRAL SPRINGS COMM SCHOOL DISTRICT","CENTRAL SPRINGS MIDDLE SCHOOL","public","2017","1","0","1","IA","223","No"
"09 - 12","High","Yes","12","09","CHARITON COMM SCHOOL DISTRICT","CHARITON HIGH SCHOOL","public","2017","0","1","0","IA","448","Yes"
"06 - 08","Middle","Unknown","08","06","CHARITON COMM SCHOOL DISTRICT","CHARITON MIDDLE SCHOOL","public","2017","0","0","1","IA","308",
"KG - 02","Elementary","Unknown","02","KG","CHARITON COMM SCHOOL DISTRICT","COLUMBUS ELEMENTARY SCHOOL","public","2017","1","0","0","IA","309",
"03 - 05","Elementary","Unknown","05","03","CHARITON COMM SCHOOL DISTRICT","VAN ALLEN ELEMENTARY SCHOOL","public","2017","1","0","0","IA","272",
"11 - 12","High","No","12","11","CHARLES CITY COMM SCHOOL DISTRICT","CARRIE LANE HIGH SCHOOL","public","2017","0","1","0","IA","21","HN"
"09 - 12","High","Yes","12","09","CHARLES CITY COMM SCHOOL DISTRICT","CHARLES CITY HIGH SCHOOL","public","2017","0","1","0","IA","487","HY"
"06 - 08","Middle","Yes","08","06","CHARLES CITY COMM SCHOOL DISTRICT","CHARLES CITY MIDDLE SCH.","public","2017","0","0","1","IA","360","Yes"
"KG - 05","Elementary","Unknown","05","KG","CHARLES CITY COMM SCHOOL DISTRICT","LINCOLN ELEMENTARY SCHOOL","public","2017","1","0","0","IA","273",
"PK - 05","Elementary","Unknown","05","PK","CHARLES CITY COMM SCHOOL DISTRICT","WASHINGTON ELEMENTARY SCHOOL","public","2017","1","0","0","IA","411",
"PK - 05","Elementary","Unknown","05","PK","CHARTER OAK-UTE COMM SCHOOL DISTRICT","CHARTER OAK-UTE ELEMENTARY SCHOOL","public","2017","1","0","0","IA","157",
"09 - 12","High","No","12","09","CHARTER OAK-UTE COMM SCHOOL DISTRICT","CHARTER OAK-UTE HIGH SCHOOL","public","2017","0","1","0","IA","93","HN"
"06 - 08","Middle","Unknown","08","06","CHARTER OAK-UTE COMM SCHOOL DISTRICT","CHARTER OAK-UTE JUNIOR HIGH SCHOOL","public","2017","0","0","1","IA","60",
"05 - 08","Mixed","Yes","08","05","CHEROKEE COMM SCHOOL DISTRICT","CHEROKEE MIDDLE SCHOOL","public","2017","1","0","1","IA","290","Yes"
"PK - PK","PK","Unknown","PK","PK","CHEROKEE COMM SCHOOL DISTRICT","EARLY CHILDHOOD LEARNING CENTER","public","2017","1","0","0","IA","63",
"11 - 12","High","Unknown","12","11","CHEROKEE COMM SCHOOL DISTRICT","LITTLE SIOUX SUCCESS CENTER","public","2017","0","1","0","IA","",
"PK - 04","Elementary","Unknown","04","PK","CHEROKEE COMM SCHOOL DISTRICT","ROOSEVELT ELEMENTARY SCHOOL","public","2017","1","0","0","IA","423",
"09 - 12","High","No","12","09","CHEROKEE COMM SCHOOL DISTRICT","WASHINGTON HIGH SCHOOL","public","2017","0","1","0","IA","296","No"
"07 - 12","Mixed","No","12","07","CLARINDA COMM SCHOOL DISTRICT","CLARINDA ACADEMY","public","2017","0","1","1","IA","204","HN"
"09 - 12","High","Yes","12","09","CLARINDA COMM SCHOOL DISTRICT","CLARINDA HIGH SCHOOL","public","2017","0","1","0","IA","321","HY"
"05 - 08","Mixed","Unknown","08","05","CLARINDA COMM SCHOOL DISTRICT","CLARINDA MIDDLE SCHOOL","public","2017","1","0","1","IA","268",
"PK - 04","Elementary","Yes","04","PK","CLARINDA COMM SCHOOL DISTRICT","GARFIELD ELEMENTARY SCHOOL","public","2017","1","0","0","IA","404","Yes"
"PK - 05","Elementary","Unknown","05","PK","CLARION-GOLDFIELD-DOWS COMM SCHOOL DISTRICT","CLARION-GOLDFIELD-DOWS ELEMENTARY SCHOOL","public","2017","1","0","0","IA","506",
"09 - 12","High","No","12","09","CLARION-GOLDFIELD-DOWS COMM SCHOOL DISTRICT","CLARION-GOLDFIELD-DOWS HIGH SCHOOL","public","2017","0","1","0","IA","297","HN"
"06 - 08","Middle","Unknown","08","06","CLARION-GOLDFIELD-DOWS COMM SCHOOL DISTRICT","CLARION-GOLDFIELD-DOWS MIDDLE SCHOOL","public","2017","0","0","1","IA","210",
"PK - 06","Elementary","Unknown","06","PK","CLARKE COMM SCHOOL DISTRICT","CLARKE COMMUNITY ELEMENTARY SCHOOL","public","2017","1","0","0","IA","840",
"09 - 12","High","Yes","12","09","CLARKE COMM SCHOOL DISTRICT","CLARKE COMMUNITY HIGH SCHOOL","public","2017","0","1","0","IA","367","HY"
"07 - 08","Middle","Unknown","08","07","CLARKE COMM SCHOOL DISTRICT","CLARKE MIDDLE SCHOOL SCHOOL","public","2017","0","0","1","IA","195",
"PK - 06","Elementary","Unknown","06","PK","CLARKSVILLE COMM SCHOOL DISTRICT","CLARKSVILLE ELEMENTARY SCHOOL","public","2017","1","0","0","IA","204",
"07 - 12","Mixed","No","12","07","CLARKSVILLE COMM SCHOOL DISTRICT","CLARKSVILLE HIGH SCHOOL","public","2017","0","1","1","IA","140","HN"
"PK - 06","Elementary","No","06","PK","CLAY CENTRAL-EVERLY COMM SCHOOL DISTRICT","CLAY CENTRAL-EVERLY ELEMENTARY AT ROYAL","public","2017","1","0","0","IA","181","No"
"07 - 12","Mixed","No","12","07","CLAY CENTRAL-EVERLY COMM SCHOOL DISTRICT","CLAY CENTRAL-EVERLY JR. SR. HIGH SCHOOL","public","2017","0","1","1","IA","144","HN"
"PK - 04","Elementary","Unknown","04","PK","CLAYTON RIDGE COMM SCHOOL DISTRICT","CLAYTON RIDGE ELEMENTARY SCHOOL","public","2017","1","0","0","IA","214",
"09 - 12","High","No","12","09","CLAYTON RIDGE COMM SCHOOL DISTRICT","CLAYTON RIDGE HIGH SCHOOL","public","2017","0","1","0","IA","220","HN"
"05 - 08","Mixed","No","08","05","CLAYTON RIDGE COMM SCHOOL DISTRICT","CLAYTON RIDGE MIDDLE SCHOOL","public","2017","1","0","1","IA","155","No"
"","Mixed","Unknown","","","CLAYTON RIDGE COMM SCHOOL DISTRICT","IOWA VIRTUAL ACADEMY","public","2017","","","","IA","",
"KG - 12","Mixed","Yes","12","KG","CLAYTON RIDGE COMM SCHOOL DISTRICT","IOWA VIRTUAL ACADEMY","public","2017","1","1","1","IA","310","HY"
"PK - 05","Elementary","Unknown","05","PK","CLEAR CREEK AMANA COMM SCHOOL DISTRICT","AMANA ELEMENTARY SCHOOL","public","2017","1","0","0","IA","211",
"09 - 12","High","Yes","12","09","CLEAR CREEK AMANA COMM SCHOOL DISTRICT","CLEAR CREEK AMANA HIGH SCHOOL","public","2017","0","1","0","IA","589","HY"
"06 - 08","Middle","Yes","08","06","CLEAR CREEK AMANA COMM SCHOOL DISTRICT","CLEAR CREEK AMANA MIDDLE SCHOOL","public","2017","0","0","1","IA","437","Yes"
"PK - 04","Elementary","Unknown","04","PK","CLEAR CREEK AMANA COMM SCHOOL DISTRICT","CLEAR CREEK ELEMENTARY SCHOOL","public","2017","1","0","0","IA","377",
"PK - 05","Elementary","Unknown","05","PK","CLEAR CREEK AMANA COMM SCHOOL DISTRICT","NORTH BEND ELEMENTARY","public","2017","1","0","0","IA","487",
"PK - 05","Elementary","Yes","05","PK","CLEAR LAKE COMM SCHOOL DISTRICT","CLEAR CREEK ELEMENTARY SCHOOL","public","2017","1","0","0","IA","696","Yes"
"09 - 12","High","Yes","12","09","CLEAR LAKE COMM SCHOOL DISTRICT","CLEAR LAKE HIGH SCHOOL","public","2017","0","1","0","IA","400","HY"
"06 - 08","Middle","Yes","08","06","CLEAR LAKE COMM SCHOOL DISTRICT","CLEAR LAKE MIDDLE SCHOOL SCHOOL","public","2017","0","0","1","IA","280","Yes"
"PK - 06","Elementary","Unknown","06","PK","CLEARFIELD COMM SCHOOL DISTRICT","CLEARFIELD ELEMENTARY SCHOOL","public","2017","1","0","0","IA","",
"PK - 05","Elementary","Yes","05","PK","CLINTON COMM SCHOOL DISTRICT","BLUFF ELEMENTARY SCHOOL","public","2017","1","0","0","IA","431","Yes"
"09 - 12","High","Yes","12","09","CLINTON COMM SCHOOL DISTRICT","CLINTON HIGH SCHOOL","public","2017","0","1","0","IA","1077","HY"
"06 - 08","Middle","Unknown","08","06","CLINTON COMM SCHOOL DISTRICT","CLINTON MIDDLE SCHOOL","public","2017","0","0","1","IA","776",
"KG - 05","Elementary","Yes","05","KG","CLINTON COMM SCHOOL DISTRICT","EAGLE HEIGHTS ELEMENTARY SCHOOL","public","2017","1","0","0","IA","485","Yes"
"KG - 05","Elementary","Unknown","05","KG","CLINTON COMM SCHOOL DISTRICT","JEFFERSON ELEMENTARY SCHOOL","public","2017","1","0","0","IA","377",
"06 - 08","Middle","Unknown","08","06","CLINTON COMM SCHOOL DISTRICT","LYONS MIDDLE SCHOOL","public","2017","0","0","1","IA","",
"06 - 08","Middle","Unknown","08","06","CLINTON COMM SCHOOL DISTRICT","WASHINGTON MIDDLE SCHOOL","public","2017","0","0","1","IA","",
"KG - 05","Elementary","Yes","05","KG","CLINTON COMM SCHOOL DISTRICT","WHITTIER ELEMENTARY SCHOOL","public","2017","1","0","0","IA","359","Yes"
"PK - 06","Elementary","Unknown","06","PK","COLFAX-MINGO COMM SCHOOL DISTRICT","COLFAX-MINGO ELEMENTARY SCHOOL","public","2017","1","0","0","IA","409",
"07 - 12","Mixed","No","12","07","COLFAX-MINGO COMM SCHOOL DISTRICT","COLFAX-MINGO HIGH SCHOOL","public","2017","0","1","1","IA","292","HN"
"","Mixed","Unknown","","","COLFAX-MINGO COMM SCHOOL DISTRICT","COLFAX-MINGO MIDDLE SCHOOL","public","2017","","","","IA","",
"05 - 06","Mixed","Inconsistent","06","05","COLLEGE COMM SCHOOL DISTRICT","PRAIRIE CREEK","public","2017","1","0","1","IA","811","Inconsistent"
"PK - 04","Elementary","Yes","04","PK","COLLEGE COMM SCHOOL DISTRICT","PRAIRIE CREST ELEMENTARY SCHOOL","public","2017","1","0","0","IA","424","Yes"
"KG - 12","Mixed","No","12","KG","COLLEGE COMM SCHOOL DISTRICT","PRAIRIE EDGE","public","2017","1","1","1","IA","50","HN"
"PK - 04","Elementary","No","04","PK","COLLEGE COMM SCHOOL DISTRICT","PRAIRIE HEIGHTS ELEMENTARY SCHOOL","public","2017","1","0","0","IA","428","No"
"10 - 12","High","Yes","12","10","COLLEGE COMM SCHOOL DISTRICT","PRAIRIE HIGH SCHOOL","public","2017","0","1","0","IA","1050","Yes"
"PK - 04","Elementary","No","04","PK","COLLEGE COMM SCHOOL DISTRICT","PRAIRIE HILL ELEMENTARY SCHOOL","public","2017","1","0","0","IA","483","No"
"07 - 09","Mixed","Yes","09","07","COLLEGE COMM SCHOOL DISTRICT","PRAIRIE POINT","public","2017","0","1","1","IA","1181","Yes"
"PK - 04","Elementary","Unknown","04","PK","COLLEGE COMM SCHOOL DISTRICT","PRAIRIE RIDGE ELEMENTARY","public","2017","1","0","0","IA","451",
"PK - 04","Elementary","No","04","PK","COLLEGE COMM SCHOOL DISTRICT","PRAIRIE VIEW ELEMENTARY SCHOOL","public","2017","1","0","0","IA","453","No"
"PK - 05","Elementary","Unknown","05","PK","COLLINS-MAXWELL COMM SCHOOL DISTRICT","COLLINS-MAXWELL ELEMENTARY SCHOOL","public","2017","1","0","0","IA","218",
"06 - 12","Mixed","No","12","06","COLLINS-MAXWELL COMM SCHOOL DISTRICT","COLLINS-MAXWELL MIDDLE/HIGH SCHOOL","public","2017","0","1","1","IA","250","HN"
"07 - 12","Mixed","Yes","12","07","COLO-NESCO SCHOOL COMM SCHOOL DISTRICT","COLO-NESCO  JR./SR. HIGH SCHOOL","public","2017","0","1","1","IA","208","HY"
